ticker,company_name,exchange,sector,overall_rating,planet_friendly_business,honest_fair_business,no_war_no_weapons,fair_pay_worker_respect,better_health_for_all,safe_smart_tech,kind_to_animals,respect_cultures_communities,fair_money_economic_opportunity,fair_trade_ethical_sourcing,zero_waste_sustainable_products
A,Agilent Technologies Inc,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,-30,10,-20,10,30,20,-20,0,0,-20,20
AAPL,Apple Inc,US,Manufacture of computers and peripheral equipment,Mixed,40,-20,-20,-30,30,20,10,25,0,0,50
ABBV,AbbVie Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-40,-40,0,-10,20,10,-30,25,0,-30,-20
ABNB,Airbnb Inc,US,Short term accommodation activities,Mixed,-20,-50,0,10,-10,-10,20,25,20,0,-10
ABT,Abbott Laboratories,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-30,-50,-50,-30,40,-30,-30,50,0,-30,30
ACGL,Arch Capital Group Ltd,US,Reinsurance,Mixed,10,0,0,40,0,20,0,0,0,0,0
ACN,Accenture plc,US,Management consultancy activities,Mixed,40,-20,-20,10,10,30,0,25,0,20,0
ADBE,Adobe Systems Incorporated,US,Software publishing,Mixed,10,-20,-20,10,10,40,0,25,0,10,70
ADI,Analog Devices Inc,US,Manufacture of electronic components and boards,Mixed,20,-10,-30,0,20,10,0,0,0,-40,30
ADM,Archer-Daniels-Midland Company,US,Manufacture of grain mill products,Mixed,-30,-30,0,-30,-30,0,-10,0,0,-30,-20
ADP,Automatic Data Processing Inc,US,Other information technology and computer service activities,Mixed,-30,0,0,-10,20,20,0,25,0,0,0
ADSK,Autodesk Inc,US,Computer programming activities,Mixed,50,-30,0,20,10,10,0,25,10,0,30
AEE,Ameren Corp,US,"Electric power generation, transmission and distribution",Mixed,-30,-20,0,0,10,10,0,25,0,-20,-20
AEP,American Electric Power Co Inc,US,"Electric power generation, transmission and distribution",Mixed,-30,-30,0,10,-20,10,10,25,0,-20,-10
AES,The AES Corporation,US,"Electric power generation, transmission and distribution",Mixed,-30,0,0,10,-20,0,10,-30,0,-20,-10
AFL,Aflac Incorporated,US,Life insurance,Mixed,40,40,0,-20,30,20,0,25,0,0,0
AIG,American International Group Inc,US,Life insurance,Mixed,-30,-20,0,0,10,10,0,0,-10,0,0
AIZ,Assurant Inc,US,Non-life insurance,Mixed,-20,-30,0,20,10,40,0,0,-10,0,20
AJG,Arthur J Gallagher & Co,US,Activities of insurance agents and brokers,Mixed,-10,20,0,-20,10,-50,0,25,0,0,0
AKAM,Akamai Technologies Inc,US,"Data processing, hosting and related activities",Mixed,-30,30,0,0,0,30,0,0,0,0,-10
ALB,Albemarle Corp,US,Manufacture of basic chemicals,Mixed,-30,-20,-10,-40,10,10,0,25,-10,-30,0
ALGN,Align Technology Inc,US,Manufacture of medical and dental instruments and supplies,Mixed,-30,-30,0,20,20,0,0,0,0,-40,0
ALL,The Allstate Corporation,US,Non-life insurance,Mixed,-20,-20,0,-30,0,-30,0,25,0,-20,-20
ALLE,Allegion PLC,US,Manufacture of other fabricated metal products n.e.c.,Mixed,-30,0,0,-20,10,20,0,10,0,-30,0
AMAT,Applied Materials Inc,US,Manufacture of other special-purpose machinery,Mixed,-30,-10,-20,10,10,10,0,25,0,0,-20
AMCR,Amcor PLC,US,Manufacture of plastics products,Mixed,-30,-10,0,-20,0,0,0,25,0,-20,30
AMD,Advanced Micro Devices Inc,US,Manufacture of electronic components and boards,Mixed,-30,10,-30,0,10,10,0,0,0,-30,-30
AME,Ametek Inc,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,-30,0,-10,-20,10,0,0,0,0,-30,-20
AMGN,Amgen Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,30,-40,0,0,0,-40,-20,25,0,-10,-20
AMP,Ameriprise Financial Inc,US,Fund management activities,Mixed,0,0,0,-20,10,20,0,25,0,0,0
AMT,American Tower Corp,US,Real estate activities with own or leased property,Mixed,-40,10,0,-10,10,0,0,25,0,-20,0
AMZN,Amazon.com Inc,US,Retail sale via mail order houses or via Internet,Mixed,30,-30,-30,-30,30,-30,0,0,-20,-40,10
ANET,Arista Networks,US,Manufacture of communication equipment,Mixed,-40,20,0,0,10,20,0,0,0,-30,0
ANSS,ANSYS Inc,US,Computer programming activities,Mixed,10,40,-30,30,10,30,0,0,0,0,0
AON,Aon PLC,US,Activities of insurance agents and brokers,Mixed,10,-20,0,0,20,-30,0,25,0,0,0
AOS,Smith AO Corporation,US,Manufacture of domestic appliances,Mixed,10,40,0,10,20,10,0,25,0,-30,-20
APA,APA Corporation,US,Extraction of crude petroleum,Mixed,-40,10,0,10,-10,0,-20,0,0,-20,-10
APD,Air Products and Chemicals Inc,US,Manufacture of basic chemicals,Mixed,-30,-20,-10,-20,10,0,0,0,0,-20,0
APH,Amphenol Corporation,US,Manufacture of electronic components and boards,Mixed,-40,-20,-30,-20,10,0,0,0,0,-30,-20
APO,Apollo Global Management LLC Class A,US,Fund management activities,Mixed,10,-50,-20,-20,-20,-30,0,25,0,0,0
APTV,Aptiv PLC,US,Manufacture of parts and accessories for motor vehicles,Mixed,-30,40,-20,-40,10,30,0,0,0,-20,10
ARE,Alexandria Real Estate Equities Inc,US,Real estate activities with own or leased property,Mixed,20,40,10,0,30,0,0,10,0,0,0
ATO,Atmos Energy Corporation,US,Manufacture of gas; distribution of gaseous fuels through mains,Mixed,-30,10,0,10,10,0,0,25,0,-10,-10
AVB,AvalonBay Communities Inc,US,Real estate activities with own or leased property,Mixed,40,-20,0,-20,10,0,0,25,0,0,0
AVGO,Broadcom Inc,US,Manufacture of electronic components and boards,Mixed,-40,-20,0,0,10,40,0,25,0,-40,-10
AVY,Avery Dennison Corp,US,Manufacture of plastics products,Mixed,-30,40,-10,-30,10,20,10,25,0,-20,40
AWK,American Water Works,US,"Water collection, treatment and supply",Mixed,10,-10,0,-10,30,-70,10,0,10,-10,0
AXON,Axon Enterprise Inc.,US,Manufacture of optical instruments and photographic equipment,Mixed,-30,30,-20,10,10,-30,0,25,0,-20,-20
AXP,American Express Company,US,Other credit granting,Mixed,-20,-40,0,40,10,30,-10,25,-20,-10,-20
AZO,AutoZone Inc,US,Other retail sale of new goods in specialized stores,Mixed,-30,-30,0,-50,10,-60,0,0,0,-20,-20
BA,The Boeing Company,US,Manufacture of air and spacecraft and related machinery,Mixed,-40,-60,-70,-20,0,-30,10,0,0,-20,0
BAC,Bank of America Corp,US,Other monetary intermediation,Mixed,0,-50,-10,10,20,0,-20,25,-20,0,-20
BALL,Ball Corporation,US,"Manufacture of tanks, reservoirs and containers of metal",Mixed,-20,10,-20,-30,10,0,0,0,0,60,50
BAX,Baxter International Inc,US,Manufacture of medical and dental instruments and supplies,Mixed,-30,-30,-10,-10,30,-40,-30,0,0,-20,-30
BBY,Best Buy Co. Inc,US,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",Mixed,-20,20,0,-20,20,0,0,25,-10,-30,40
BDX,Becton Dickinson and Company,US,Manufacture of medical and dental instruments and supplies,Mixed,-30,-20,10,-20,30,20,-20,25,0,0,-20
BEN,Franklin Resources Inc,US,Fund management activities,Mixed,10,-10,-40,20,0,0,0,0,0,0,0
BF-B,Brown-Forman Corporation,US,"Distilling, rectifying and blending of spirits",Mixed,-30,10,0,-50,-20,0,20,0,0,-30,20
BG,Bunge Limited,US,Wholesale of agricultural raw materials and live animals,Mixed,-30,-10,0,-20,10,-10,-20,-25,0,-30,-10
BIIB,Biogen Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,40,-80,0,-20,-20,-10,-30,25,0,0,70
BK,The Bank of New York Mellon Corporation,US,Other monetary intermediation,Mixed,20,-20,-20,-20,10,-30,-10,25,10,0,10
BKNG,Booking Holdings Inc,US,Other reservation service and related activities,Mixed,-30,10,-10,-10,0,0,0,-25,0,0,0
BKR,Baker Hughes Co,US,Support activities for petroleum and natural gas extraction,Mixed,-30,-20,0,-20,-10,0,0,25,0,-30,-20
BLDR,Builders FirstSource Inc,US,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",Mixed,-20,0,0,-20,0,0,0,-10,0,-20,-10
BLK,BlackRock Inc,US,Fund management activities,Mixed,-20,-30,-20,-10,0,0,-20,-10,0,0,10
BMY,Bristol-Myers Squibb Company,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-30,-60,10,-10,30,10,-30,-25,-10,-10,-20
BR,Broadridge Financial Solutions Inc,US,"Data processing, hosting and related activities",Mixed,-10,40,0,30,10,10,0,20,10,0,0
BRK-B,Berkshire Hathaway Inc,US,Activities of holding companies,Mixed,-30,-30,-20,-30,20,0,0,-10,-20,-20,-20
BRO,Brown & Brown Inc,US,Activities of insurance agents and brokers,Mixed,10,30,0,20,20,-20,0,0,0,0,0
BSX,Boston Scientific Corp,US,Manufacture of medical and dental instruments and supplies,Mixed,30,-40,-20,10,30,30,-30,25,0,-30,-20
BWA,BorgWarner Inc,US,Manufacture of parts and accessories for motor vehicles,Mixed,30,20,0,-30,-10,0,0,25,0,0,-20
BX,Blackstone Group Inc,US,Fund management activities,Mixed,-20,-40,-20,-40,30,10,0,-10,0,-50,0
BXP,Boston Properties Inc,US,Real estate activities with own or leased property,Mixed,10,20,0,10,10,20,10,0,0,0,-10
C,Citigroup Inc,US,Other monetary intermediation,Mixed,-20,-40,-20,-20,0,-20,-20,-25,-30,-10,0
CAG,ConAgra Foods Inc,US,Manufacture of other food products n.e.c.,Mixed,-30,-20,0,-30,-20,0,-30,25,0,-30,-20
CAH,Cardinal Health Inc,US,Wholesale of other household goods,Mixed,-30,30,0,10,30,10,0,25,10,0,-20
CARR,Carrier Global Corp,US,Manufacture of other general-purpose machinery,Mixed,-30,10,-10,-10,20,10,10,10,0,0,10
CAT,Caterpillar Inc,US,"Manufacture of machinery for mining, quarrying and construction",Mixed,-30,-30,-10,-20,0,0,-10,-25,0,-20,10
CB,Chubb Ltd,US,Life insurance,Mixed,-30,20,0,-40,30,10,10,0,0,0,0
CBOE,Cboe Global Markets Inc,US,Administration of financial markets,Mixed,-20,-10,0,30,0,40,0,0,0,0,0
CBRE,CBRE Group Inc Class A,US,Real estate activities on a fee or contract basis,Mixed,-30,-20,-20,-20,10,10,0,25,0,-20,10
CCI,Crown Castle,US,Other telecommunications activities,Mixed,40,40,0,-20,0,0,0,0,0,-20,0
CCL,Carnival Corporation,US,Sea and coastal passenger water transport,Mixed,-30,-30,0,-30,-10,-50,-10,25,0,-20,-20
CDNS,Cadence Design Systems Inc,US,Computer programming activities,Mixed,40,30,-30,-10,20,30,0,25,10,0,-20
CDW,CDW Corp,US,"Wholesale of computers, computer peripheral equipment and software",Mixed,-30,-20,-20,10,20,10,0,25,0,-20,-20
CE,Celanese Corporation,US,Manufacture of basic chemicals,Mixed,-30,20,0,-20,10,10,-10,-25,0,-20,10
CEG,Constellation Energy Corp,US,"Electric power generation, transmission and distribution",Mixed,30,40,0,10,0,10,10,0,0,0,0
CF,CF Industries Holdings Inc,US,Manufacture of fertilizers and nitrogen compounds,Mixed,-30,10,0,-20,-10,0,0,0,0,-20,-20
CFG,"Citizens Financial Group, Inc.",US,Other monetary intermediation,Mixed,10,10,-10,0,10,-30,0,25,10,0,0
CHD,Church & Dwight Company Inc,US,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Mixed,-20,-20,0,-20,20,10,-40,0,0,-30,-20
CHRW,CH Robinson Worldwide Inc,US,Other transportation support activities,Mixed,20,-20,0,-30,10,20,0,25,0,-10,-10
CHTR,Charter Communications Inc,US,Wired telecommunications activities,Mixed,-30,-50,0,-40,10,10,0,25,0,-10,-20
CI,Cigna Corp,US,Life insurance,Mixed,-30,-20,0,-40,30,0,0,25,0,-30,-20
CINF,Cincinnati Financial Corporation,US,Life insurance,Mixed,10,-30,0,30,0,20,0,0,0,0,0
CL,Colgate-Palmolive Company,US,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Mixed,-30,10,0,-30,30,20,-20,25,0,-30,30
CLX,The Clorox Company,US,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Mixed,-30,-20,10,10,30,-50,-10,25,0,-20,-20
CMCSA,Comcast Corp,US,Wired telecommunications activities,Mixed,-30,0,0,-40,20,-40,0,25,0,-20,20
CME,CME Group Inc,US,Administration of financial markets,Mixed,30,10,0,10,0,20,0,0,0,0,0
CMG,Chipotle Mexican Grill Inc,US,Restaurants and mobile food service activities,Mixed,-30,-20,0,-30,-30,0,-20,-10,0,-30,-20
CMI,Cummins Inc,US,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Mixed,-30,-20,-20,-20,10,-30,10,25,10,-20,-20
CMS,CMS Energy Corporation,US,"Electric power generation, transmission and distribution",Mixed,-30,-50,0,-20,0,-40,10,25,0,0,0
CNC,Centene Corp,US,Life insurance,Mixed,-30,-100,0,-10,40,-20,0,25,0,0,-10
CNP,CenterPoint Energy Inc,US,"Electric power generation, transmission and distribution",Mixed,-10,-10,-10,-20,0,10,0,0,0,-10,0
COF,Capital One Financial Corporation,US,Other monetary intermediation,Mixed,-30,-20,-30,-30,10,-30,0,25,0,-10,-20
COO,"The Cooper Companies, Inc",US,Manufacture of medical and dental instruments and supplies,Mixed,10,-20,0,0,30,-40,0,0,0,0,10
COP,ConocoPhillips,US,Extraction of crude petroleum,Mixed,-40,-20,-20,-20,-30,0,-30,25,0,-40,-30
COR,Cencora Inc.,US,Wholesale of other household goods,Mixed,-40,20,-20,20,40,-60,0,0,0,-20,-30
COST,Costco Wholesale Corp,US,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",Mixed,-30,30,0,-10,20,0,-30,0,0,-20,10
CPAY,Corpay Inc,US,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Mixed,-20,-20,10,10,0,10,0,0,0,0,0
CPB,Campbell Soup Company Common Stock,US,Manufacture of prepared meals and dishes,Mixed,-30,-20,0,0,10,0,-20,25,0,-20,-20
CPRT,Copart Inc,US,Wholesale of waste and scrap and other products n.e.c.,Mixed,10,-10,0,-20,0,0,0,0,0,0,30
CPT,Camden Property Trust,US,Real estate activities with own or leased property,Mixed,-20,30,0,40,10,10,0,0,0,0,0
CRL,Charles River Laboratories,US,Research and experimental development on natural sciences and engineering,Mixed,40,-10,-20,-20,10,10,-40,0,0,0,-10
CRM,Salesforce.com Inc,US,Computer programming activities,Mixed,40,60,-20,-20,20,30,10,0,10,0,0
CRWD,Crowdstrike Holdings Inc,US,Computer programming activities,Mixed,0,10,-20,0,-50,10,0,25,0,0,0
CSCO,Cisco Systems Inc,US,Manufacture of communication equipment,Mixed,40,60,-20,-20,20,30,0,50,10,-30,40
CSGP,CoStar Group Inc,US,Web portals,Mixed,10,10,0,-20,0,-20,0,0,0,0,0
CSX,CSX Corporation,US,Freight rail transport,Mixed,-30,-30,0,-20,0,-10,0,25,0,-10,-20
CTAS,Cintas Corporation,US,"Washing and (dry-), cleaning of textile and fur products",Mixed,-30,10,0,-30,0,0,0,0,0,-20,0
CTRA,Coterra Energy Inc,US,Extraction of crude petroleum,Mixed,-30,0,0,-10,10,0,-20,-10,0,0,-10
CTSH,Cognizant Technology Solutions Corp Class A,US,Computer consultancy and computer facilities management activities,Mixed,30,-10,-20,-20,30,30,0,25,0,0,-10
CTVA,Corteva Inc,US,Manufacture of pesticides and other agrochemical products,Mixed,-30,10,0,-30,-30,0,0,-40,0,-20,-20
CVS,CVS Health Corp,US,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",Mixed,-30,-40,0,-30,40,-20,-10,25,-20,-20,-20
CVX,Chevron Corp,US,Extraction of crude petroleum,Mixed,-40,-40,-10,-10,-40,0,-30,-25,0,-20,-20
CZR,Caesars Entertainment Corporation,US,Gambling and betting activities,Mixed,-30,-20,0,10,-10,-40,-20,25,0,20,-30
D,Dominion Energy Inc,US,"Electric power generation, transmission and distribution",Mixed,-30,-30,0,0,-20,10,10,25,0,-10,-20
DAL,Delta Air Lines Inc,US,Passenger air transport,Mixed,-30,10,0,0,-10,-40,10,25,10,-20,-20
DAY,Dayforce Inc.,US,Computer programming activities,Mixed,40,10,0,10,0,0,0,0,0,0,40
DD,Dupont De Nemours Inc,US,Manufacture of basic chemicals,Mixed,-30,-20,-20,-10,0,10,0,25,0,-30,-20
DE,Deere & Company,US,Manufacture of agricultural and forestry machinery,Mixed,-30,-10,-20,-20,10,0,-10,-10,-10,-10,-20
DECK,Deckers Outdoor Corporation,US,Manufacture of footwear,Mixed,-30,20,0,10,0,0,-20,25,0,20,-20
DELL,Dell Technologies Inc,US,Manufacture of computers and peripheral equipment,Mixed,-30,40,-30,-20,30,20,0,50,-20,-30,30
DFS,Discover Financial Services,US,Other credit granting,Mixed,-30,-30,0,10,0,-10,0,10,-20,0,0
DG,Dollar General Corporation,US,Other retail sale in non-specialized stores,Mixed,-30,-40,0,-60,0,-10,-20,-10,0,-30,-30
DGX,Quest Diagnostics Incorporated,US,Other human health activities,Mixed,-20,0,0,0,30,-50,0,25,0,-30,0
DHI,DR Horton Inc,US,Construction of buildings,Mixed,-30,-20,0,-30,-10,0,-10,0,-10,-20,-20
DHR,Danaher Corporation,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,-30,-10,30,-10,40,-40,-10,10,0,-30,-20
DIS,Walt Disney Company,US,"Motion picture, video and television programme production activities",Mixed,20,-20,0,-30,20,-40,20,-25,0,-30,10
DLR,Digital Realty Trust Inc,US,Real estate activities with own or leased property,Mixed,30,10,0,-20,0,-10,0,0,0,0,0
DLTR,Dollar Tree Inc,US,Other retail sale in non-specialized stores,Mixed,-30,-60,0,-30,-30,-40,-20,0,0,-30,-30
DOC,Healthpeak Properties Inc,US,Real estate activities with own or leased property,Mixed,40,10,0,10,30,0,0,0,0,0,-20
DOV,Dover Corporation,US,Manufacture of other general-purpose machinery,Mixed,-20,20,-40,-20,0,-40,0,0,0,-20,-20
DOW,Dow Inc,US,Manufacture of plastics and synthetic rubber in primary forms,Mixed,-40,-10,-10,-10,-10,20,-20,25,0,-30,10
DPZ,Domino's Pizza Inc Common Stock,US,Restaurants and mobile food service activities,Mixed,-20,20,0,-40,-10,-30,-20,0,0,-20,-20
DRI,Darden Restaurants Inc,US,Restaurants and mobile food service activities,Mixed,-30,0,0,-20,0,0,-20,25,0,0,-20
DTE,DTE Energy Company,US,"Electric power generation, transmission and distribution",Mixed,0,-30,0,-20,10,0,10,25,-10,-30,-20
DUK,Duke Energy Corporation,US,"Electric power generation, transmission and distribution",Mixed,-30,0,-20,-20,0,-30,-30,25,-10,-20,-20
DVA,DaVita HealthCare Partners Inc,US,Other human health activities,Mixed,40,-70,0,0,-20,-40,0,25,0,0,-20
DVN,Devon Energy Corporation,US,Extraction of crude petroleum,Mixed,-40,-20,0,0,-10,0,-20,25,0,-10,-20
DXCM,DexCom Inc,US,Manufacture of medical and dental instruments and supplies,Mixed,-30,-20,0,-20,50,20,-10,10,0,-10,-30
EA,Electronic Arts Inc,US,Software publishing,Mixed,-30,-20,0,-20,10,10,0,25,0,0,0
EBAY,eBay Inc,US,Retail sale via mail order houses or via Internet,Mixed,30,20,10,-20,0,-30,10,-10,20,0,30
ECL,Ecolab Inc,US,"Other professional, scientific and technical activities n.e.c.",Mixed,40,40,0,-20,30,30,-20,25,0,-30,30
ED,Consolidated Edison Inc,US,"Electric power generation, transmission and distribution",Mixed,-30,-10,-10,-10,10,-10,10,25,-40,0,-20
EFX,Equifax Inc,US,"Data processing, hosting and related activities",Mixed,-30,-50,0,-40,10,-20,0,-10,-10,0,0
EG,Everest Group Ltd,US,Management consultancy activities,Mixed,-20,20,0,0,10,-40,0,25,0,0,0
EIX,Edison International,US,"Electric power generation, transmission and distribution",Mixed,-20,0,0,-20,10,0,10,25,0,-30,-10
EL,Estee Lauder Companies Inc,US,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Mixed,30,0,10,-10,10,-30,-30,25,0,30,-20
ELV,Elevance Health Inc,US,Life insurance,Mixed,30,-70,0,10,40,20,0,25,10,0,0
EMN,Eastman Chemical Company,US,Manufacture of basic chemicals,Mixed,-30,0,0,-30,10,0,-10,0,0,-10,30
EMR,Emerson Electric Company,US,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Mixed,40,-30,-10,-10,0,20,0,0,0,-70,-20
ENPH,Enphase Energy Inc,US,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Mixed,30,20,10,10,10,-30,10,25,10,-20,60
EOG,EOG Resources Inc,US,Extraction of crude petroleum,Mixed,-40,-20,0,-30,-10,-10,-20,-20,0,-10,-20
EPAM,EPAM Systems Inc,US,Computer programming activities,Mixed,10,10,10,20,20,30,0,25,0,0,0
EQIX,Equinix Inc,US,"Data processing, hosting and related activities",Mixed,40,10,0,10,10,20,0,25,0,-40,0
EQR,Equity Residential,US,Real estate activities with own or leased property,Mixed,-30,20,0,10,10,-30,0,0,0,0,0
EQT,EQT Corporation,US,Extraction of natural gas,Mixed,-30,-20,0,-20,-20,-10,10,25,0,0,-20
ERIE,Erie Indemnity Company,US,Activities of insurance agents and brokers,Mixed,10,40,0,30,10,20,0,25,0,0,0
ES,Eversource Energy,US,"Electric power generation, transmission and distribution",Mixed,-20,-20,-20,-40,10,-20,10,25,0,-20,-10
ESS,Essex Property Trust Inc,US,Real estate activities with own or leased property,Mixed,-20,20,0,-20,10,-20,0,-50,0,0,-40
ETN,Eaton Corporation PLC,US,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Mixed,-30,40,-30,-10,10,20,0,0,0,-30,40
ETR,Entergy Corporation,US,"Electric power generation, transmission and distribution",Mixed,-20,-30,0,20,-20,-20,10,25,10,-30,-20
EVRG,"Evergy, Inc.",US,"Electric power generation, transmission and distribution",Mixed,-30,10,0,-20,-10,20,-10,25,0,-20,0
EW,Edwards Lifesciences Corp,US,Manufacture of medical and dental instruments and supplies,Mixed,-30,-20,10,20,40,20,-40,0,0,-10,-20
EXC,Exelon Corporation,US,"Electric power generation, transmission and distribution",Mixed,-40,-70,-20,-30,10,20,10,25,0,-10,0
EXPD,"Expeditors International of Washington, Inc.",US,Other transportation support activities,Mixed,-10,-20,-10,-10,10,10,0,0,0,0,0
EXPE,Expedia Group Inc.,US,Travel agency activities,Mixed,-30,-20,0,-10,0,0,0,25,0,-10,0
EXR,Extra Space Storage Inc,US,Real estate activities with own or leased property,Mixed,30,40,0,10,0,-30,0,25,0,0,0
F,Ford Motor Company,US,Manufacture of motor vehicles,Mixed,0,-40,-20,-10,10,-30,20,25,0,-40,-20
FANG,Diamondback Energy Inc,US,Extraction of crude petroleum,Mixed,-40,0,0,-20,-20,0,-10,25,0,-20,-20
FAST,Fastenal Company,US,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",Mixed,20,-30,-10,-40,0,20,0,0,0,-30,-30
FCX,Freeport-McMoran Copper & Gold Inc,US,Mining of other non-ferrous metal ores,Mixed,-30,20,0,-20,0,-50,0,25,0,-40,-20
FDS,FactSet Research Systems Inc,US,Other information service activities n.e.c.,Mixed,-30,30,0,10,0,20,0,0,0,0,0
FDX,FedEx Corporation,US,Courier activities,Mixed,-30,-10,-20,-40,30,-40,10,25,0,-10,-20
FE,FirstEnergy Corporation,US,"Electric power generation, transmission and distribution",Mixed,-30,-70,0,0,10,-30,10,25,0,-20,-20
FFIV,F5 Networks Inc,US,Computer programming activities,Mixed,-30,-10,-20,10,10,10,0,25,0,-10,0
FI,"Fiserv, Inc.",US,Other information technology and computer service activities,Mixed,-30,10,0,-20,0,-30,0,0,10,0,-20
FICO,Fair Isaac Corporation,US,Computer programming activities,Mixed,-20,-20,-10,10,0,40,0,0,10,0,0
FIS,Fidelity National Information Services Inc,US,Other information technology and computer service activities,Mixed,-30,-10,0,-10,0,10,0,0,0,0,-20
FITB,Fifth Third Bancorp,US,Other monetary intermediation,Mixed,30,0,-20,-20,10,30,0,25,-20,-10,0
FMC,FMC Corporation,US,Manufacture of pesticides and other agrochemical products,Mixed,-30,-20,30,-10,-20,10,-30,-30,0,-30,-30
FOX,Fox Corp Class B,US,Television programming and broadcasting activities,Mixed,-20,-40,0,-40,-40,10,0,0,0,0,-40
FOXA,Fox Corp Class A,US,Television programming and broadcasting activities,Mixed,-30,-60,0,-30,-10,-20,0,0,0,0,-40
FRT,Federal Realty Investment Trust,US,Real estate activities with own or leased property,Mixed,0,40,0,20,10,0,0,25,0,0,0
FSLR,First Solar Inc,US,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Mixed,40,30,0,-20,10,0,0,25,0,60,0
FTNT,Fortinet Inc,US,"Wholesale of computers, computer peripheral equipment and software",Mixed,-20,10,10,10,10,20,0,25,0,0,0
FTV,Fortive Corp,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,-30,-10,-20,-20,30,10,0,25,0,-10,0
GD,General Dynamics Corporation,US,Manufacture of military fighting vehicles,Mixed,-40,-20,-80,-40,0,-10,0,-10,0,-20,-30
GDDY,Godaddy Inc,US,"Data processing, hosting and related activities",Mixed,40,40,0,40,0,-20,-10,0,0,0,0
GE,GE Aerospace,US,Manufacture of air and spacecraft and related machinery,Mixed,-20,-20,-60,-10,10,20,10,25,0,-20,-20
GEHC,GE HealthCare Technologies Inc.,US,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",Mixed,-30,20,-10,-60,40,10,-20,0,0,-40,0
GEN,Gen Digital Inc.,US,Computer programming activities,Mixed,20,10,0,0,0,20,0,0,0,0,0
GEV,GE Vernova LLC,US,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Mixed,30,10,10,-20,10,30,10,0,0,-40,-20
GILD,Gilead Sciences Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-30,-30,-10,20,20,-10,-20,25,-10,-10,-20
GIS,General Mills Inc,US,Manufacture of other food products n.e.c.,Mixed,0,0,0,0,-20,10,-10,-25,0,-20,0
GL,Globe Life Inc,US,Life insurance,Mixed,-30,-30,10,-20,20,-80,0,0,-20,0,0
GLW,Corning Incorporated,US,Manufacture of glass and glass products,Mixed,30,10,-10,-40,30,20,0,25,0,-30,30
GM,General Motors Company,US,Manufacture of motor vehicles,Mixed,-20,-10,-60,-30,-20,-50,0,-25,0,-30,30
GNRC,Generac Holdings Inc,US,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Mixed,10,0,0,10,10,-10,0,25,0,-30,-20
GOOG,Alphabet Inc Class C,US,Web portals,Mixed,10,-30,-10,-20,-10,-20,10,50,10,0,30
GOOGL,Alphabet Inc Class A,US,Web portals,Mixed,40,-40,-30,-30,30,-30,20,25,20,-20,40
GPC,Genuine Parts Co,US,Wholesale of waste and scrap and other products n.e.c.,Mixed,-30,20,-10,0,10,0,0,0,0,-20,0
GPN,Global Payments Inc,US,Other activities auxiliary to financial service activities,Mixed,-20,10,0,-20,0,-30,0,0,0,0,0
GRMN,Garmin Ltd,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,10,20,-30,20,20,10,0,0,0,-20,-20
GS,Goldman Sachs Group Inc,US,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Mixed,-20,-60,-40,-20,10,20,-20,25,10,0,0
GWW,WW Grainger Inc,US,Non-specialized wholesale trade,Mixed,-30,10,-10,0,10,0,0,0,0,0,0
HAL,Halliburton Company,US,Support activities for petroleum and natural gas extraction,Mixed,-40,-60,-20,-20,-20,-70,-20,-25,0,-40,-10
HAS,Hasbro Inc,US,Manufacture of games and toys,Mixed,-30,-20,0,-20,10,0,0,0,0,10,-20
