ticker,company_name,exchange,sector,overall_rating,planet_friendly_business,honest_fair_business,no_war_no_weapons,fair_pay_worker_respect,better_health_for_all,safe_smart_tech,kind_to_animals,respect_cultures_communities,fair_money_economic_opportunity,fair_trade_ethical_sourcing,zero_waste_sustainable_products
ORLY,O’Reilly Automotive Inc,US,Other retail sale of new goods in specialized stores,Mixed,-30,-20,0,-20,0,0,0,0,0,-20,-20
OTIS,Otis Worldwide Corp,US,Manufacture of lifting and handling equipment,Mixed,-30,40,0,-20,0,10,0,0,0,-10,60
OXY,Occidental Petroleum Corporation,US,Extraction of crude petroleum,Mixed,-40,-10,0,-40,-10,0,-40,0,0,-20,-20
PANW,Palo Alto Networks Inc,US,Computer programming activities,Mixed,0,-30,-20,30,0,0,0,25,0,-10,0
PARA,Paramount Global Class B,US,"Motion picture, video and television programme production activities",Mixed,-30,-30,10,-10,10,-30,10,25,0,-20,-30
PAYC,Paycom Soft,US,Computer programming activities,Mixed,0,10,0,30,10,-30,10,25,0,0,0
PAYX,Paychex Inc,US,Combined office administrative service activities,Mixed,0,60,0,10,30,0,0,0,10,0,0
PCAR,PACCAR Inc,US,Manufacture of motor vehicles,Mixed,-30,-40,0,-20,10,10,0,0,0,-30,10
PCG,PG&E Corp,US,"Electric power generation, transmission and distribution",Mixed,30,-50,0,0,-10,10,10,50,-10,-20,10
PEG,Public Service Enterprise Group Inc,US,"Electric power generation, transmission and distribution",Mixed,-20,-20,0,20,10,-10,10,0,0,0,-30
PEP,PepsiCo Inc,US,Manufacture of soft drinks; production of mineral waters and other bottled waters,Mixed,-30,-20,-10,-20,-30,-30,10,-25,0,10,-20
PFE,Pfizer Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-30,-30,0,-20,-20,20,-40,0,-10,-30,-20
PFG,Principal Financial Group Inc,US,Pension funding,Mixed,30,40,0,40,20,20,0,25,10,0,-20
PG,Procter & Gamble Company,US,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Mixed,-30,-20,-50,-30,10,-10,-30,0,0,-30,-20
PGR,Progressive Corp,US,Non-life insurance,Mixed,-20,-10,0,20,0,-20,0,25,0,0,-40
PH,Parker-Hannifin Corporation,US,Manufacture of other general-purpose machinery,Mixed,-30,10,-40,-20,0,-60,0,0,0,-20,0
PHM,PulteGroup Inc,US,Construction of buildings,Mixed,-20,-30,0,30,0,10,-20,25,-20,0,-20
PKG,Packaging Corp of America,US,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Mixed,-30,-30,0,0,-10,10,0,10,0,-20,0
PLD,Prologis Inc,US,Real estate activities with own or leased property,Mixed,30,40,0,10,10,10,10,25,0,0,0
PLTR,Palantir Technologies Inc. Class A Common Stock,US,Computer programming activities,Mixed,-20,-30,-40,-30,30,-10,0,0,0,0,0
PM,Philip Morris International Inc,US,Manufacture of tobacco products,Mixed,-30,-50,-10,-40,-60,0,-20,-40,0,-30,-20
